run,model_type,snap_idx,a,pos_mse_mean,pos_mse_std,pk_ratio_mean_k0.1,pk_ratio_std_k0.1,cross_corr_mean_k0.1,cross_corr_std_k0.1,pk_ratio_mean_k0.2,pk_ratio_std_k0.2,cross_corr_mean_k0.2,cross_corr_std_k0.2,pk_ratio_mean_k0.3,pk_ratio_std_k0.3,cross_corr_mean_k0.3,cross_corr_std_k0.3,pk_ratio_mean_k0.5,pk_ratio_std_k0.5,cross_corr_mean_k0.5,cross_corr_std_k0.5,pk_ratio_mean_k0.6,pk_ratio_std_k0.6,cross_corr_mean_k0.6,cross_corr_std_k0.6,pk_ratio_mean_k0.8,pk_ratio_std_k0.8,cross_corr_mean_k0.8,cross_corr_std_k0.8,pk_ratio_mean_k1.0,pk_ratio_std_k1.0,cross_corr_mean_k1.0,cross_corr_std_k1.0,pk_ratio_mean_k1.5,pk_ratio_std_k1.5,cross_corr_mean_k1.5,cross_corr_std_k1.5,pk_ratio_mean_k2.0,pk_ratio_std_k2.0,cross_corr_mean_k2.0,cross_corr_std_k2.0
cnn revived-grass-60,cnn,0,0.10000000149011612,4.502588922150608e-07,1.5650582737936787e-09,0.9976711273193359,0.0002846602292265743,0.998675525188446,8.966150926426053e-05,0.9904559850692749,0.00045150326332077384,0.9952220916748047,0.00018665698007680476,0.9774484634399414,0.0003570856642909348,0.9892657399177551,0.00020940833201166242,0.9277623891830444,0.0004698773263953626,0.9692508578300476,0.00028486913652159274,0.8898774981498718,0.0004989794688299298,0.9556859135627747,0.0004774543340317905,0.7678838968276978,0.0019736418034881353,0.9114185571670532,0.0008008235017769039,0.6277987957000732,0.0029760231263935566,0.8501266241073608,0.0006966992514207959,0.2823237478733063,0.003763207932934165,0.5380605459213257,0.0048744454979896545,0.258925199508667,0.004090051632374525,0.498024046421051,0.0018525617197155952
cnn revived-grass-60,cnn,12,0.3204081654548645,3.4444315133441705e-06,1.4869173423248225e-08,1.001447081565857,0.0006981928599998355,0.9993934631347656,3.440998261794448e-05,1.0025570392608643,0.00037002007593400776,0.9977673292160034,0.0001790318201528862,1.0029882192611694,0.0018135103164240718,0.9950516819953918,0.00012687838170677423,0.9804866909980774,0.0018187299137935042,0.9851328730583191,0.00022316006652545184,0.9547065496444702,0.0019193830667063594,0.9770323038101196,0.00045681942719966173,0.8483878374099731,0.003289376385509968,0.946143627166748,0.00028618559008464217,0.7302166223526001,0.0037944915238767862,0.9015140533447266,0.0012008395278826356,0.4652844965457916,0.00432821037247777,0.7204574346542358,0.0005665465141646564,0.4474502503871918,0.0030909397173672915,0.7015740871429443,0.0035334303975105286
cnn revived-grass-60,cnn,24,0.5408163070678711,7.822256520739757e-06,2.7782393758603392e-08,1.0032985210418701,0.0009771623881533742,0.9997256994247437,1.769256232364569e-05,1.0108258724212646,0.0011055615032091737,0.9989603161811829,0.00011138444097014144,1.0222179889678955,0.0026444299146533012,0.9977289438247681,0.0001002814169623889,1.0338457822799683,0.002223316114395857,0.992824375629425,0.00016626162687316537,1.0320942401885986,0.0013552203308790922,0.9883008003234863,0.0003706004354171455,0.992598831653595,0.00533718429505825,0.9706960916519165,0.0003583059587981552,0.9426010847091675,0.005789513699710369,0.9466063380241394,0.0010954554891213775,0.796586275100708,0.008191077038645744,0.8560576438903809,0.0024502722080796957,0.7826259136199951,0.01199267152696848,0.8461637496948242,0.0031270154286175966
cnn revived-grass-60,cnn,37,0.7795918583869934,1.2931666606164072e-05,4.6243123009671715e-08,1.002701997756958,0.0009662214433774352,0.999852180480957,9.878200216917321e-06,1.0113438367843628,0.0018644829979166389,0.9993378520011902,2.038832644757349e-05,1.0235059261322021,0.004010507836937904,0.9981810450553894,0.0002105322346324101,1.0381470918655396,0.0018506848718971014,0.9932268857955933,0.0007975869812071323,1.0400102138519287,0.002905566245317459,0.9884709119796753,0.0013098708586767316,1.0085670948028564,0.007774000521749258,0.9718683362007141,0.002871221862733364,0.964764416217804,0.010204223915934563,0.9499341249465942,0.004950366448611021,0.8318174481391907,0.016367601230740547,0.8670938611030579,0.007328953593969345,0.8104985356330872,0.014986170455813408,0.8574142456054688,0.008429187349975109
cnn revived-grass-60,cnn,49,1.0,1.7289997049374507e-05,1.0876938155939163e-07,1.0014921426773071,0.0010938168270513415,0.9998285174369812,3.4205215342808515e-05,1.009389877319336,0.002300665946677327,0.999036431312561,0.00013814953854307532,1.0201009511947632,0.005270332098007202,0.9969671964645386,0.000636304437648505,1.029630422592163,0.0014547865139320493,0.9883401989936829,0.0024029682390391827,1.0272587537765503,0.0040186382830142975,0.9811521768569946,0.0036401960533112288,0.9978652000427246,0.006640465930104256,0.9578779339790344,0.006758411414921284,0.9490281939506531,0.011524890549480915,0.9290043115615845,0.011343415826559067,0.8013495206832886,0.013889431022107601,0.8276143074035645,0.014888341538608074,0.788455069065094,0.01500917598605156,0.8167715072631836,0.014805526472628117
kcorr royal-energy-58,kcorr,0,0.10000000149011612,4.502588922150608e-07,1.5650582737936787e-09,0.9976709485054016,0.0002848206786438823,0.9986754655838013,8.966113091446459e-05,0.9904559850692749,0.0004517578345257789,0.9952219724655151,0.00018691251170821488,0.9774481654167175,0.0003569543769117445,0.9892656207084656,0.0002096752286888659,0.9277620315551758,0.0004698764532804489,0.9692507982254028,0.00028474052669480443,0.8898776173591614,0.0004985424457117915,0.9556862711906433,0.00047703218297101557,0.7678828239440918,0.0019736632239073515,0.9114181399345398,0.0008001416572369635,0.627798855304718,0.0029760203324258327,0.8501272201538086,0.0006950874230824411,0.28232404589653015,0.0037638868670910597,0.5380614995956421,0.004873254336416721,0.2589254379272461,0.004090357571840286,0.4980243742465973,0.001853546011261642
kcorr royal-energy-58,kcorr,12,0.3204081654548645,4.4570969293999955e-06,1.7518314541710163e-08,1.004480004310608,0.0002981021534651518,0.9986764192581177,7.85909578553401e-05,0.9948893785476685,0.0006095942808315158,0.9951598048210144,0.0002574127574916929,0.9794026613235474,0.0016710866475477815,0.9889612197875977,0.00014084193389862776,0.9276548624038696,0.001540152938105166,0.9683263897895813,0.0006447445484809577,0.8786119222640991,0.000833959027659148,0.9533504247665405,0.0005274167051538825,0.7115418910980225,0.001591994077898562,0.9049168825149536,0.00065487006213516,0.5803084969520569,0.0033138683065772057,0.8444156646728516,0.0016656561056151986,0.3296811878681183,0.0025877601001411676,0.6145067811012268,0.002193739637732506,0.31334835290908813,0.004115409683436155,0.58991539478302,0.004238334018737078
kcorr royal-energy-58,kcorr,24,0.5408163070678711,1.1528027971507982e-05,3.8314127494792045e-08,1.0038304328918457,0.0003036119742318988,0.9986807107925415,6.675124313915148e-05,1.0015171766281128,0.00041975118801929057,0.9950543642044067,0.00030193556449376047,1.0011966228485107,0.0018656430765986443,0.988821804523468,0.0002634005213622004,1.0048068761825562,0.0020091745536774397,0.9680007696151733,0.0007693209918215871,0.995872974395752,0.0017576689133420587,0.9522979855537415,0.0005586447077803314,0.9103118181228638,0.0023727361112833023,0.9026429057121277,0.0004976412747055292,0.8312452435493469,0.005116936285048723,0.8446964025497437,0.0010334602557122707,0.6578812003135681,0.008683213032782078,0.6458026170730591,0.004382132086902857,0.6450290083885193,0.010498985648155212,0.6276403665542603,0.006934240460395813
kcorr royal-energy-58,kcorr,37,0.7795918583869934,1.9751291983993723e-05,7.517804790818871e-08,1.0007270574569702,0.0003401031717658043,0.9986881017684937,5.390663136495277e-05,1.000165343284607,0.00048504368169233203,0.9949560165405273,0.0003171871940139681,1.0045140981674194,0.0020835413597524166,0.9887657165527344,0.00033777597127482295,1.0270662307739258,0.0021445679012686014,0.9678720235824585,0.0004156427166890353,1.0385006666183472,0.0023967644665390253,0.9523481130599976,0.0008078466635197401,0.9994495511054993,0.0070417593233287334,0.9054749608039856,0.0012956025311723351,0.9417694211006165,0.008583074435591698,0.8501788973808289,0.0014464332489296794,0.7765461206436157,0.012630621902644634,0.6568512320518494,0.0042925672605633736,0.7572317123413086,0.013154876418411732,0.6400107145309448,0.006474488880485296
kcorr royal-energy-58,kcorr,49,1.0,2.630011076689698e-05,1.1914747847579769e-07,0.9987577199935913,0.00040996118332259357,0.9986936450004578,4.657999670598656e-05,0.9965364336967468,0.0005919677205383778,0.9948970675468445,0.0003059274167753756,0.9986392855644226,0.002372792921960354,0.9887343645095825,0.0003717645595315844,1.0159130096435547,0.0040764701552689075,0.9675647020339966,0.0003767235029954463,1.0277925729751587,0.007557018660008907,0.9519026875495911,0.0008736472227610648,1.0075773000717163,0.009361160919070244,0.9060271978378296,0.0010710882488638163,0.9502712488174438,0.007164988666772842,0.851087749004364,0.001593168592080474,0.7750316858291626,0.017352255061268806,0.6623579859733582,0.004394384101033211,0.7596577405929565,0.015941280871629715,0.6414121389389038,0.0067963064648211
